nome_popular;nome_cientifico;propriedades
Guaçatonga;Casearia sylvestris;Cicatrizante tópico e auxiliar no tratamento de úlceras gástricas.
Maracujá;Passiflora spp.;Sedativo leve, ansiolítico e auxiliar no tratamento de insônia.
Marupari;Eleutherine plicata;Utilizado tradicionalmente para distúrbios gastrointestinais e inflamações.
Mastruz;Chenopodium ambrosioides;Antiparasitário (vermífugo) e cicatrizante.
Melão-de-São-Caetano;Momordica charantia;Auxiliar no controle da glicemia e antisséptico de pele.
Mil-folhas;Achillea millefolium;Antipirético, analgésico e auxiliar em distúrbios menstruais.
Mulungu;Erythrina mulungu;Sedativo do sistema nervoso central e calmante.
Crajiru;Fridericia chica;Cicatrizante, anti-inflamatório e auxiliar em casos de anemia.
Pata-de-vaca;Bauhinia spp.;Coadjuvante no tratamento de diabetes e diurético.
Pau-ferro;Libidibia ferrea;Adstringente, antisséptico e auxiliar em afecções respiratórias.
Picão;Bidens pilosa;Anti-inflamatório, auxiliar em icterícia e problemas hepáticos.
Pinhão-roxo;Jatropha gossypiifolia;Utilizado tradicionalmente para cicatrização e processos inflamatórios.
Pitangueira;Eugenia uniflora;Antidiarreico, digestivo e hipotensor.
Poejo;Mentha pulegium;Expectorante, digestivo e auxiliar em gripes e resfriados.
Quebra-pedra;Phyllanthus spp.;Auxilia na eliminação de cálculos renais e proteção hepática.
Romãzeira;Punica granatum;Antisséptico bucal e de garganta, adstringente e antioxidante.
Sacaca;Croton spp.;Utilizada tradicionalmente para redução de colesterol e gordura no fígado.
Salsa;Petroselinum sativum;Diurético potente e auxiliar na saúde renal.
Soja;Glycine max;Fonte de isoflavonas, auxilia nos sintomas do climatério e menopausa.
Tanchagem;Plantago major;Anti-inflamatório de garganta, cicatrizante e adstringente.
Urtiga-branca;Lamium album;Auxiliar em distúrbios geniturinários e depurativo.
Verônica-verdadeira;Dalbergia subcymosa;Utilizada tradicionalmente para inflamações e dores em geral.
Arruda;Ruta graveolens;Vasoestimulante, emenagogo e auxiliar em dores reumáticas.
Salgueiro;Salix alba;Analgésico e antitérmico (origem do ácido acetilsalicílico).
Aroeira-da-praia;Schinus terebinthifolius;Cicatrizante e anti-inflamatório potente para uso tópico.
Jurubeba;Solanum paniculatum;Tônico amargo, digestivo e desobstruente do fígado.
Arnica;Solidago microglossa;Anti-inflamatório e analgésico para traumas e hematomas.
Barbatimão;Stryphnodendron adstringens;Poderoso adstringente e cicatrizante dermatológico e ginecológico.
Jambolão;Syzygium spp.;Antidiarreico e auxiliar no controle de diabetes.
Ipê-roxo;Tabebuia avellanedeae;Anti-inflamatório, antifúngico e auxiliar em processos infecciosos.
Cravo-de-defunto;Tagetes minuta;Antiparasitário, cicatrizante e antisséptico.
Trevo-vermelho;Trifolium pratense;Auxiliar em sintomas da menopausa e problemas de pele.
Unha-de-gato;Uncaria tomentosa;Imunomodulador potente e anti-inflamatório para artrites.
Boldo-baiano;Vernonia condensata;Digestivo e tônico amargo para distúrbios do fígado.
Assa-peixe;Vernonanthura spp.;Expectorante e auxiliar em tosses e afecções respiratórias.
Gengibre;Zingiber officinale;Antiemético (náuseas), digestivo e anti-inflamatório sistêmico.
Tanaceto;Tanacetum parthenium;Utilizado no auxílio à prevenção de crises de enxaqueca.
Sene;Senna alexandrina;Laxante indicado para constipação intestinal aguda.
Urtiga;Urtica dioica;Diurético, auxiliar no tratamento de próstata e anti-inflamatório.
